planet_name,na_absorption_type,k_absorption_type,reason_for_concluded_na_absorption_type,reason_for_concluded_k_absorption_type
WASP-19b,Potential Absorption,No Absorption,,
WASP-103b,Potential Absorption,Potential Absorption,,
WASP-12b,No Absorption,No Absorption,,
HAT-P-23b,No Absorption,No Absorption,,
WASP-33b,No Absorption,No Absorption,,
Qatar-2b,No Absorption,No Absorption,,
TrES-3b,No Absorption,No Absorption,,
WASP-121b,Potential Absorption,No Absorption,,
WASP-4b,Potential Absorption,No Absorption,,
Qatar-1b,No Absorption,No Absorption,,
WASP-46b,No Absorption,No Absorption,,
CoRoT-1b,No Absorption,No Absorption,,
WASP-36b,No Absorption,No Absorption,,
WASP-52b,Definite Absorption,No Absorption,,
WASP-48b,No Absorption,No Absorption,,
WASP-74b,No Absorption,No Absorption,,
HAT-P-32b,No Absorption,No Absorption,,
HD 189733b,Definite Absorption,Potential Absorption,,
WASP-49b,No Absorption,No Absorption,,
WASP-98b,No Absorption,No Absorption,,
WASP-45b,No Absorption,No Absorption,,
WASP-31b,No Absorption,Potential Absorption ,,
WASP-6b,Potential Absorption,No Absorption,,
WASP-96b,Definite Absorption,Potential Absorption,,
